label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.000000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.100000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.250000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.250000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.153226,0.142857,0.010369
accuracy_0.500000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.500000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.346774,0.333333,0.013441
accuracy_0.750000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.750000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.669355,0.600000,0.069355
accuracy_0.900000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_0.900000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.830645,0.818182,0.012463
accuracy_1.000000_t0,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t1,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t2,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t3,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t4,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t5,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t6,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t7,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t8,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
accuracy_1.000000_t9,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,1.000000,1.000000,0.000000
