label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,19.153,0.025,0.002,5.540,3.042,10.316,0.330,0.000,22233088,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,19.317,0.050,0.002,5.604,3.036,10.257,0.342,0.000,30310400,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,18.985,0.096,0.003,5.531,2.999,9.994,0.335,0.000,37257216,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,35.133,0.198,0.006,10.778,4.840,18.701,0.596,0.000,63668224,525155,0.306452,0.333333,0.026882
vary_m_16,128,16,8192,18.620,0.051,0.002,5.503,2.883,9.859,0.328,0.000,65044480,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,18.836,0.048,0.002,5.543,2.912,10.004,0.333,0.000,71221248,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,18.787,0.048,0.002,5.463,2.938,9.985,0.339,0.000,78512128,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,34.268,0.048,0.006,10.476,4.778,18.367,0.577,0.000,101564416,525155,0.330709,0.333333,0.002625
vary_size_100,128,32,8192,18.708,0.048,0.002,5.452,2.909,9.971,0.344,0.000,102891520,263011,0.346774,0.333333,0.013441
vary_size_1000,128,32,8192,19.144,0.480,0.005,5.437,2.916,9.983,0.343,0.000,103120896,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,23.479,4.803,0.002,5.464,2.955,9.961,0.335,0.000,104022016,263011,0.387097,0.333333,0.053763
