scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,8192,1,0.246,5.466,13.011,0.339,19.069,23117824,263011,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,8192,1,0.035,5.479,12.926,0.349,18.833,30785536,263011,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,8192,1,0.244,5.428,12.898,0.338,18.919,37257216,263011,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,8192,1,0.035,5.508,12.936,0.339,18.802,45137920,263011,0.333333,0.333333,0.000000
vary_universe_8192,piccard,8192,500,128,32,8192,1,0.242,5.454,12.906,0.334,18.926,52051968,263011,0.395161,0.333333,0.061828
vary_universe_8192,baseline,8192,500,0,0,8192,1,0.033,5.477,12.863,0.341,18.730,59850752,263011,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,8192,1,0.242,5.458,12.995,0.338,19.021,66781184,263011,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.062,10.506,23.275,0.593,34.401,94093312,525155,0.333333,0.333333,0.000000
vary_universe_32768,piccard,32768,500,128,32,8192,1,0.242,5.495,12.950,0.343,19.045,95207424,263011,0.395161,0.333333,0.061828
vary_universe_32768,baseline,32768,500,0,0,32768,1,0.070,20.860,44.931,1.072,66.927,156090368,1049443,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,8192,1,0.242,5.455,12.890,0.340,18.941,156303360,263011,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.090,41.823,90.834,2.297,135.120,268042240,2098019,0.333333,0.333333,0.000000
vary_setsize_100,piccard,10000,100,128,32,8192,1,0.051,5.489,12.925,0.337,18.809,268107776,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,10000,100,0,0,16384,1,0.062,10.680,23.623,0.594,34.925,268107776,525155,0.333333,0.333333,0.000000
vary_setsize_500,piccard,10000,500,128,32,8192,1,0.245,5.530,13.030,0.348,19.179,268107776,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,10000,500,0,0,16384,1,0.056,10.500,23.299,0.584,34.453,268107776,525155,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,10000,1000,128,32,8192,1,0.485,5.497,13.000,0.348,19.327,268173312,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,10000,1000,0,0,16384,1,0.059,10.520,23.302,0.578,34.456,268173312,525155,0.333333,0.333333,0.000000
vary_setsize_5000,piccard,10000,5000,128,32,8192,1,2.406,5.497,12.965,0.342,21.218,268664832,263011,0.395161,0.333333,0.061828
vary_setsize_5000,baseline,10000,5000,0,0,16384,1,0.052,10.546,23.276,0.587,34.476,268664832,525155,0.333333,0.333333,0.000000
