
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
  U_set    Method      N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
-----------------------------------------------------------------------------------------------------------
   1024   Piccard   8192     1   0.246      5.5     13.0    0.339        19.1  256.8 KB     0.0618         
         Baseline   8192     1   0.035      5.5     12.9    0.349        18.8  256.8 KB  0 (exact)     1.0x
   4096   Piccard   8192     1   0.244      5.4     12.9    0.338        18.9  256.8 KB     0.0618         
         Baseline   8192     1   0.035      5.5     12.9    0.339        18.8  256.8 KB  0 (exact)     1.0x
   8192   Piccard   8192     1   0.242      5.5     12.9    0.334        18.9  256.8 KB     0.0618         
         Baseline   8192     1   0.033      5.5     12.9    0.341        18.7  256.8 KB  0 (exact)     1.0x
  16384   Piccard   8192     1   0.242      5.5     13.0    0.338        19.0  256.8 KB     0.0618         
         Baseline  16384     1   0.062     10.5     23.3    0.593        34.4  512.8 KB  0 (exact)     1.8x
  32768   Piccard   8192     1   0.242      5.5     12.9    0.343        19.0  256.8 KB     0.0618         
         Baseline  32768     1   0.070     20.9     44.9      1.1        66.9    1.0 MB  0 (exact)     3.5x
  65536   Piccard   8192     1   0.242      5.5     12.9    0.340        18.9  256.8 KB     0.0618         
         Baseline  65536     1   0.090     41.8     90.8      2.3       135.1    2.0 MB  0 (exact)     7.1x
