scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,8192,1,0.244,5.475,12.941,0.337,19.016,21692416,263011,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,8192,1,0.035,5.563,13.385,0.341,19.634,31129600,263011,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,8192,1,0.243,5.522,12.971,0.332,19.038,37666816,263011,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,8192,1,0.036,5.486,13.003,0.339,18.880,45662208,263011,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,8192,1,0.245,5.491,12.999,0.338,19.098,52117504,263011,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.063,10.562,23.351,0.582,34.534,79282176,525155,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,8192,1,0.247,5.515,12.994,0.331,19.072,80510976,263011,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.092,41.964,91.829,2.280,136.055,207798272,2098019,0.333333,0.333333,0.000000
vary_universe_262144,piccard,262144,500,128,32,8192,1,0.242,5.471,12.991,0.334,19.014,208044032,263011,0.395161,0.333333,0.061828
vary_universe_262144,baseline,262144,500,0,0,262144,1,0.220,175.073,418.502,8.823,604.095,737116160,8389475,0.333333,0.333333,0.000000
vary_universe_524288,piccard,524288,500,128,32,8192,1,0.250,6.177,16.234,0.460,23.471,737165312,263011,0.395161,0.333333,0.061828
vary_universe_524288,baseline,524288,500,0,0,524288,1,0.385,358.490,919.625,21.577,1300.114,1743372288,16778083,0.333333,0.333333,0.000000
vary_universe_1048576,piccard,1048576,500,128,32,8192,1,0.245,5.586,15.010,0.378,21.234,1743405056,263011,0.395161,0.333333,0.061828
vary_universe_1048576,baseline,1048576,500,0,0,1048576,1,0.729,738.989,1961.524,37.748,2739.468,3658481664,33555299,0.333333,0.333333,0.000000
vary_setsize_100,piccard,262144,100,128,32,8192,1,0.052,5.693,15.462,0.385,21.602,3894165504,263011,0.379032,0.333333,0.045699
vary_setsize_100,baseline,262144,100,0,0,262144,1,0.212,173.808,415.639,8.649,597.940,3929948160,8389475,0.333333,0.333333,0.000000
vary_setsize_500,piccard,262144,500,128,32,8192,1,0.244,5.688,15.443,0.388,21.745,3929964544,263011,0.395161,0.333333,0.061828
vary_setsize_500,baseline,262144,500,0,0,262144,1,0.205,174.484,415.089,8.681,598.688,3946807296,8389475,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,262144,1000,128,32,8192,1,0.484,5.717,15.949,0.400,22.527,3946889216,263011,0.338710,0.333333,0.005376
vary_setsize_1000,baseline,262144,1000,0,0,262144,1,0.206,174.319,419.099,8.735,602.142,3946889216,8389475,0.333333,0.333333,0.000000
vary_setsize_5000,piccard,262144,5000,128,32,8192,1,2.404,5.733,15.716,0.386,24.254,3946889216,263011,0.395161,0.333333,0.061828
vary_setsize_5000,baseline,262144,5000,0,0,262144,1,0.197,186.902,436.331,9.564,650.815,3946889216,8389475,0.333333,0.333333,0.000000
vary_setsize_10000,piccard,262144,10000,128,32,8192,1,4.805,5.671,15.551,0.390,26.501,3946889216,263011,0.346774,0.333333,0.013441
vary_setsize_10000,baseline,262144,10000,0,0,262144,1,0.189,176.280,442.450,8.895,628.150,3946889216,8389475,0.333333,0.333333,0.000000
vary_setsize_50000,piccard,262144,50000,128,32,8192,1,25.969,5.938,14.056,0.374,46.883,3946889216,263011,0.346774,0.333333,0.013441
vary_setsize_50000,baseline,262144,50000,0,0,262144,1,0.233,179.989,448.418,9.004,641.350,3946889216,8389475,0.333333,0.333333,0.000000
vary_setsize_100000,piccard,262144,100000,128,32,8192,1,48.934,5.671,13.264,0.337,68.136,3946889216,263011,0.467742,0.333333,0.134409
vary_setsize_100000,baseline,262144,100000,0,0,262144,1,0.281,173.886,418.421,8.702,601.768,3946889216,8389475,0.333333,0.333333,0.000000
