
======================================================================
  Table 2: Piccard vs Baseline — Varying Universe Size
======================================================================
    U_set    Method        N  #CTs  Encode  Encrypt  Compute  Decrypt  Total (ms)   CT Size      Error  Speedup
---------------------------------------------------------------------------------------------------------------
     1024   Piccard     8192     1   0.244      5.5     12.9    0.337        19.0  256.8 KB     0.0618         
           Baseline     8192     1   0.035      5.6     13.4    0.341        19.6  256.8 KB  0 (exact)     1.0x
     4096   Piccard     8192     1   0.243      5.5     13.0    0.332        19.0  256.8 KB     0.0618         
           Baseline     8192     1   0.036      5.5     13.0    0.339        18.9  256.8 KB  0 (exact)     1.0x
    16384   Piccard     8192     1   0.245      5.5     13.0    0.338        19.1  256.8 KB     0.0618         
           Baseline    16384     1   0.063     10.6     23.4    0.582        34.5  512.8 KB  0 (exact)     1.8x
    65536   Piccard     8192     1   0.247      5.5     13.0    0.331        19.1  256.8 KB     0.0618         
           Baseline    65536     1   0.092     42.0     91.8      2.3       136.1    2.0 MB  0 (exact)     7.1x
   262144   Piccard     8192     1   0.242      5.5     13.0    0.334        19.0  256.8 KB     0.0618         
           Baseline   262144     1   0.220    175.1    418.5      8.8       604.1    8.0 MB  0 (exact)    31.8x
   524288   Piccard     8192     1   0.250      6.2     16.2    0.460        23.5  256.8 KB     0.0618         
           Baseline   524288     1   0.385    358.5    919.6     21.6      1300.1   16.0 MB  0 (exact)    55.4x
  1048576   Piccard     8192     1   0.245      5.6     15.0    0.378        21.2  256.8 KB     0.0618         
           Baseline  1048576     1   0.729    739.0   1961.5     37.7      2739.5   32.0 MB  0 (exact)   129.0x
