
======================================================================
  Table 4: Accuracy — Piccard vs Baseline
======================================================================
   Overlap  J_true  Piccard J  Piccard Err  Baseline J  Baseline Err
--------------------------------------------------------------------
  0.000000  0.0000     0.0000    0 (exact)      0.0000     0 (exact)
  0.100000  0.0526     0.0968       0.0441      0.0526     0 (exact)
  0.200000  0.1111     0.1935       0.0824      0.1111     0 (exact)
  0.300000  0.1765     0.2903       0.1139      0.1765     0 (exact)
  0.400000  0.2500     0.3387       0.0887      0.2500     0 (exact)
  0.500000  0.3333     0.3952       0.0618      0.3333     0 (exact)
  0.600000  0.4286     0.4677       0.0392      0.4286     0 (exact)
  0.700000  0.5385     0.5645       0.0261      0.5385     0 (exact)
  0.800000  0.6667     0.6694       0.0027      0.6667     0 (exact)
  0.900000  0.8182     0.7581       0.0601      0.8182     0 (exact)
  1.000000  1.0000     1.0000    0 (exact)      1.0000     0 (exact)
