scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_universe_1024,piccard,1024,500,128,32,4096,1,0.249,2.961,7.155,0.198,10.562,13516800,131939,0.395161,0.333333,0.061828
vary_universe_1024,baseline,1024,500,0,0,1024,1,0.002,1.300,4.275,0.110,5.687,15237120,33635,0.333333,0.333333,0.000000
vary_universe_4096,piccard,4096,500,128,32,4096,1,0.244,2.927,8.012,0.193,11.377,19120128,131939,0.395161,0.333333,0.061828
vary_universe_4096,baseline,4096,500,0,0,4096,1,0.010,2.977,7.970,0.190,11.147,22904832,131939,0.333333,0.333333,0.000000
vary_universe_16384,piccard,16384,500,128,32,4096,1,0.247,3.046,8.290,0.213,11.796,26066944,131939,0.395161,0.333333,0.061828
vary_universe_16384,baseline,16384,500,0,0,16384,1,0.019,10.835,23.659,0.660,35.173,55820288,525155,0.333333,0.333333,0.000000
vary_universe_65536,piccard,65536,500,128,32,4096,1,0.243,2.954,7.981,0.204,11.383,59457536,131939,0.395161,0.333333,0.061828
vary_universe_65536,baseline,65536,500,0,0,65536,1,0.065,42.260,92.739,2.351,137.414,178896896,2098019,0.333333,0.333333,0.000000
vary_universe_262144,piccard,262144,500,128,32,4096,1,0.242,2.931,7.843,0.209,11.224,182190080,131939,0.395161,0.333333,0.061828
vary_universe_262144,baseline,262144,500,0,0,262144,1,0.216,179.133,436.856,9.043,625.247,739557376,8389475,0.333333,0.333333,0.000000
vary_universe_524288,piccard,524288,500,128,32,4096,1,0.242,3.412,10.471,0.223,14.349,743014400,131939,0.395161,0.333333,0.061828
vary_universe_524288,baseline,524288,500,0,0,524288,1,0.386,365.937,947.062,22.737,1336.122,1749352448,16778083,0.333333,0.333333,0.000000
vary_universe_1048576,piccard,1048576,500,128,32,4096,1,0.250,3.810,13.270,0.353,17.682,1752776704,131939,0.395161,0.333333,0.061828
vary_universe_1048576,baseline,1048576,500,0,0,1048576,1,0.726,753.257,2020.864,39.398,2814.245,3667738624,33555299,0.333333,0.333333,0.000000
vary_setsize_100,piccard,262144,100,128,32,4096,1,0.050,3.377,10.475,0.288,14.191,3875307520,131939,0.379032,0.333333,0.045699
vary_setsize_100,baseline,262144,100,0,0,262144,1,0.170,175.363,429.242,8.996,613.771,3925835776,8389475,0.333333,0.333333,0.000000
vary_setsize_500,piccard,262144,500,128,32,4096,1,0.243,3.307,10.411,0.313,14.274,3925835776,131939,0.395161,0.333333,0.061828
vary_setsize_500,baseline,262144,500,0,0,262144,1,0.155,173.997,427.907,8.825,610.883,3944792064,8389475,0.333333,0.333333,0.000000
vary_setsize_1000,piccard,262144,1000,128,32,4096,1,0.480,3.153,10.511,0.262,14.407,3944841216,131939,0.338710,0.333333,0.005376
