label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.000000_t0,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t1,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t2,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t3,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000_t4,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.100000_t0,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t1,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t2,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t3,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.100000_t4,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078
accuracy_0.200000_t0,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t1,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t2,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t3,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.200000_t4,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857
accuracy_0.300000_t0,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t1,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t2,128,32,4096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
