label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,2048,8.019,0.026,0.001,1.839,1.709,4.277,0.168,0.000,10108928,66403,0.274194,0.333333,0.059140
vary_k_128,128,32,4096,12.026,0.048,0.001,3.134,2.193,6.440,0.210,0.000,17399808,131939,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,19.474,0.101,0.004,5.547,3.003,10.461,0.358,0.000,31391744,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,36.028,0.198,0.006,10.975,5.133,19.029,0.688,0.000,57917440,525155,0.306452,0.333333,0.026882
vary_k_1024,1024,32,32768,69.932,0.400,0.011,21.964,8.791,37.539,1.226,0.000,115802112,1049443,0.312500,0.333333,0.020833
vary_m_16,128,16,2048,7.793,0.049,0.004,1.815,1.652,4.131,0.143,0.000,117522432,66403,0.333333,0.333333,0.000000
vary_m_32,128,32,4096,11.722,0.049,0.001,3.048,2.185,6.232,0.206,0.000,121176064,131939,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,19.906,0.052,0.002,5.598,3.287,10.622,0.344,0.000,121520128,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,35.771,0.049,0.003,10.928,5.159,19.050,0.582,0.000,131514368,525155,0.330709,0.333333,0.002625
vary_m_256,128,256,32768,68.592,0.050,0.006,21.098,8.740,37.485,1.212,0.000,174407680,1049443,0.325490,0.333333,0.007843
vary_size_1000,128,32,4096,13.256,0.555,0.001,3.184,2.267,6.723,0.526,0.000,178028544,131939,0.346774,0.333333,0.013441
vary_size_10000,128,32,4096,16.678,5.101,0.002,3.044,2.081,6.234,0.215,0.000,178913280,131939,0.387097,0.333333,0.053763
vary_size_50000,128,32,4096,36.078,24.515,0.003,3.139,2.066,6.159,0.194,0.000,182812672,131939,0.346774,0.333333,0.013441
vary_size_100000,128,32,4096,60.095,48.903,0.004,3.019,2.089,5.886,0.193,0.000,188710912,131939,0.443548,0.333333,0.110215
vary_size_500000,128,32,4096,255.686,244.440,0.003,3.056,2.040,5.953,0.193,0.000,245268480,131939,0.338710,0.333333,0.005376
vary_size_1000000,128,32,4096,510.928,497.715,0.003,3.258,2.343,7.378,0.231,0.000,326041600,131939,0.346774,0.333333,0.013441
