scenario,method,universe_size,set_size,k,m,ring_dim,num_cts,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,piccard,262144,500,128,32,16384,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
accuracy_0.000000,baseline,262144,500,0,0,262144,1,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000
