label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
accuracy_0.000000_t0,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t1,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t2,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t3,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t4,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t5,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t6,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t7,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t8,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
accuracy_0.000000_t9,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.000000,0.000000,0.000000,0.0,0.0
