label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
vary_k_64,64,32,8192,5,3.881,0.020,0.028,0.000,0.002,5.496,13.068,0.341,22.801,24100864,263011,0.274194,0.333333,0.059140,5128205.1,3625290.0
vary_k_128,128,32,8192,5,7.580,0.037,0.052,0.000,0.004,5.651,13.257,0.337,26.905,31571968,263011,0.387097,0.333333,0.053763,2727247.9,1918465.2
vary_k_256,256,32,8192,5,14.133,0.068,0.102,0.000,0.005,5.546,12.956,0.331,33.133,38518784,263011,0.362903,0.333333,0.029570,1467889.9,985629.5
vary_k_512,512,32,16384,5,27.923,0.135,0.201,0.001,0.007,10.656,23.297,0.579,62.812,64569344,525155,0.326613,0.333333,0.006720,730150.8,497822.0
vary_k_1024,1024,32,32768,5,56.848,0.272,0.397,0.004,0.013,21.032,44.742,1.097,124.515,122175488,1049443,0.316532,0.333333,0.016801,369003.7,252154.0
vary_depth_3,128,32,8192,3,7.471,0.036,0.052,0.000,0.005,5.486,12.913,0.330,26.312,122290176,263011,0.387097,0.333333,0.053763,2745970.3,1833483.1
vary_depth_5,128,32,8192,5,7.571,0.037,0.052,0.000,0.005,5.498,13.057,0.342,26.534,122585088,263011,0.387097,0.333333,0.053763,2749140.9,1822323.5
vary_depth_10,128,32,8192,10,7.886,0.037,0.064,0.000,0.005,5.541,13.019,0.346,26.936,125665280,263011,0.387097,0.333333,0.053763,2678523.6,1562500.0
vary_depth_20,128,32,8192,20,8.469,0.037,0.078,0.000,0.002,5.475,12.998,0.340,27.390,132726784,263011,0.387097,0.333333,0.053763,2702702.7,1285479.2
vary_size_1000,128,32,8192,5,0.908,0.038,0.053,0.000,0.003,5.503,13.092,0.340,19.953,140099584,263011,0.346774,0.333333,0.013441,1983458.0,1820929.8
vary_size_10000,128,32,8192,5,7.576,0.037,0.052,0.000,0.005,5.510,13.111,0.341,26.701,140099584,263011,0.387097,0.333333,0.053763,2739726.0,1926151.4
vary_size_50000,128,32,8192,5,36.892,0.037,0.052,0.000,0.004,5.569,13.023,0.339,55.916,144244736,263011,0.346774,0.333333,0.013441,2727322.3,1912338.4
vary_size_100000,128,32,8192,5,73.677,0.037,0.052,0.000,0.005,5.543,12.957,0.338,92.762,150405120,263011,0.443548,0.333333,0.110215,2714883.0,1915415.3
vary_size_500000,128,32,8192,5,367.372,0.037,0.052,0.002,0.011,6.066,14.201,0.343,387.829,207699968,263011,0.338710,0.333333,0.005376,2714956.7,1926151.4
vary_size_1000000,128,32,8192,5,736.396,0.039,0.052,0.002,0.010,6.130,13.915,0.350,755.896,288849920,263011,0.346774,0.333333,0.013441,2594639.5,1912338.4
dynamic_vs_basic_k64_dynamic,64,32,8192,5,3.858,0.019,0.028,0.000,0.005,5.551,13.001,0.338,22.828,288849920,263011,0.274194,0.333333,0.059140,5139274.3,3636363.6
dynamic_vs_basic_k64_basic,64,32,8192,0,2.370,0.000,0.000,0.000,0.002,5.443,12.840,0.338,20.993,288849920,263011,0.274194,0.333333,0.059140,0.0,0.0
dynamic_vs_basic_k128_dynamic,128,32,8192,5,7.634,0.037,0.052,0.000,0.004,5.546,13.074,0.341,26.856,288849920,263011,0.387097,0.333333,0.053763,2736652.0,1921524.9
dynamic_vs_basic_k128_basic,128,32,8192,0,4.815,0.000,0.000,0.000,0.002,5.485,13.005,0.316,23.623,288849920,263011,0.387097,0.333333,0.053763,0.0,0.0
dynamic_vs_basic_k256_dynamic,256,32,8192,5,14.144,0.068,0.102,0.000,0.005,5.527,13.020,0.341,33.323,288849920,263011,0.362903,0.333333,0.029570,1468795.4,986028.0
dynamic_vs_basic_k256_basic,256,32,8192,0,9.581,0.000,0.000,0.000,0.003,5.430,12.932,0.321,28.266,288849920,263011,0.362903,0.333333,0.029570,0.0,0.0
dynamic_vs_basic_k512_dynamic,512,32,16384,5,28.045,0.136,0.201,0.001,0.008,10.607,23.352,0.566,62.920,295075840,525155,0.326613,0.333333,0.006720,736648.3,498651.1
dynamic_vs_basic_k512_basic,512,32,16384,0,19.058,0.000,0.000,0.000,0.005,10.471,23.085,0.579,53.199,295092224,525155,0.326613,0.333333,0.006720,0.0,0.0
dynamic_vs_basic_k1024_dynamic,1024,32,32768,5,56.478,0.272,0.399,0.004,0.013,20.924,44.844,1.076,124.018,345784320,1049443,0.316532,0.333333,0.016801,360251.3,250364.9
dynamic_vs_basic_k1024_basic,1024,32,32768,0,39.905,0.000,0.000,0.000,0.013,22.349,46.250,1.048,109.564,346570752,1049443,0.316532,0.333333,0.016801,0.0,0.0
