label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
vary_k_64,64,32,8192,19.465,0.025,0.002,5.561,3.142,10.369,0.344,0.000,22396928,263011,0.274194,0.333333,0.059140
vary_k_128,128,32,8192,18.730,0.048,0.002,5.429,2.972,9.955,0.333,0.000,29999104,263011,0.346774,0.333333,0.013441
vary_k_256,256,32,8192,18.878,0.095,0.004,5.467,2.965,10.015,0.331,0.000,37502976,263011,0.346774,0.333333,0.013441
vary_k_512,512,32,16384,34.664,0.191,0.006,10.599,4.782,18.478,0.583,0.000,63324160,525155,0.306452,0.333333,0.026882
vary_k_1024,1024,32,32768,67.018,0.380,0.011,20.770,8.558,36.156,1.075,0.000,118358016,1049443,0.312500,0.333333,0.020833
vary_m_16,128,16,8192,18.776,0.048,0.002,5.447,2.938,10.010,0.330,0.000,118652928,263011,0.333333,0.333333,0.000000
vary_m_32,128,32,8192,19.573,0.050,0.002,5.566,3.092,10.506,0.357,0.000,119603200,263011,0.346774,0.333333,0.013441
vary_m_64,128,64,8192,19.457,0.049,0.002,5.484,3.080,10.443,0.346,0.000,123486208,263011,0.333333,0.333333,0.000000
vary_m_128,128,128,16384,35.318,0.048,0.003,10.741,5.004,18.994,0.575,0.000,146620416,525155,0.330709,0.333333,0.002625
vary_m_256,128,256,32768,68.799,0.050,0.006,21.260,8.908,37.562,1.090,0.000,192774144,1049443,0.325490,0.333333,0.007843
vary_size_1000,128,32,8192,20.171,0.494,0.002,5.598,3.144,10.572,0.350,0.000,192905216,263011,0.346774,0.333333,0.013441
vary_size_10000,128,32,8192,24.491,4.969,0.004,5.596,3.117,10.463,0.347,0.000,193822720,263011,0.387097,0.333333,0.053763
vary_size_50000,128,32,8192,44.645,24.959,0.004,5.705,3.103,10.567,0.352,0.000,197705728,263011,0.346774,0.333333,0.013441
vary_size_100000,128,32,8192,69.710,49.868,0.005,5.724,3.141,10.601,0.351,0.000,202539008,263011,0.443548,0.333333,0.110215
vary_size_500000,128,32,8192,263.917,243.801,0.007,6.040,3.239,10.348,0.342,0.000,257523712,263011,0.338710,0.333333,0.005376
vary_size_1000000,128,32,8192,519.440,499.380,0.007,5.791,3.151,10.651,0.361,0.000,340344832,263011,0.346774,0.333333,0.013441
