
======================================================================
  Table 5: Piccard Accuracy Across Similarity Levels
======================================================================
   Overlap    k   m  J_true  J_hat (avg)  Avg Error
---------------------------------------------------
  0.000000  128  32  0.0000       0.0000  0 (exact)
  0.100000  128  32  0.0526       0.0887     0.0361
  0.200000  128  32  0.1111       0.1210     0.0099
  0.300000  128  32  0.1765       0.1855     0.0090
  0.400000  128  32  0.2500       0.2500  0 (exact)
  0.500000  128  32  0.3333       0.3468     0.0134
  0.600000  128  32  0.4286       0.5161     0.0876
  0.700000  128  32  0.5385       0.6048     0.0664
  0.800000  128  32  0.6667       0.7258     0.0591
  0.900000  128  32  0.8182       0.8306     0.0125
  1.000000  128  32  1.0000       1.0000  0 (exact)
