label,k,m,ring_dim,tau,mult_depth,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_mask_ms,phase_poly_eval_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,threshold_result,threshold_expected,threshold_correct,note
vary_k_16,16,32,16384,8,7,0.006,0.003,14.961,8.559,42.136,0.701,62.523,0.761,129.499,163872768,1311953,0,0,1,
vary_k_32,32,32,32768,16,9,0.013,0.005,35.870,20.171,116.631,1.465,225.312,1.544,401.086,714997760,3671493,0,0,1,
vary_k_64,64,32,32768,32,12,0.024,0.006,38.912,23.743,134.967,1.563,397.658,1.639,601.603,1303805952,4195903,0,0,1,
vary_tau_1,64,32,32768,1,12,0.024,0.006,38.781,23.711,134.955,1.562,400.560,1.683,602.144,1855160320,4195903,1,1,1,
vary_tau_16,64,32,32768,16,12,0.024,0.006,38.964,28.999,169.692,1.569,425.583,1.668,666.083,2388033536,4195903,1,1,1,
vary_tau_32,64,32,32768,32,12,0.024,0.006,38.865,29.076,174.157,1.570,424.204,1.635,669.848,2922545152,4195903,0,0,1,
vary_tau_48,64,32,32768,48,12,0.025,0.006,41.679,31.266,197.254,1.901,487.777,1.927,762.204,3467739136,4195903,0,0,1,
vary_tau_64,64,32,32768,64,12,0.025,0.006,41.616,31.403,197.781,1.891,487.811,1.939,762.013,3998089216,4195903,0,0,1,
vs_basic_k16,16,32,16384,8,7,0.006,0.003,14.904,9.208,43.480,0.689,67.650,0.775,136.878,4001153024,1311953,0,0,1,
vs_basic_k32,32,32,32768,16,9,0.013,0.005,36.060,25.517,159.083,1.487,256.224,1.562,479.391,4471226368,3671493,0,0,1,
vs_basic_k64,64,32,32768,32,12,0.025,0.006,41.740,31.477,197.458,1.883,490.608,1.950,762.920,5068488704,4195903,0,0,1,
