scenario,method,security_class,universe_size,set_size,k,m,ring_dim,num_cts,mult_depth,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,comm_bytes,jaccard_computed,jaccard_expected,jaccard_error,jaccard_rel_error,trials,total_ms_sd,total_ms_median,phase_encode_ms_sd,phase_encode_ms_median,phase_encrypt_ms_sd,phase_encrypt_ms_median,phase_compute_ms_sd,phase_compute_ms_median,phase_decrypt_ms_sd,phase_decrypt_ms_median,rel_error_eligible_n,model
vary_k_16,piccard,CPA/no-leakage,65536,1000,16,64,8192,1,1,0.113,5.691,13.459,0.368,19.630,156073984,263011,789033,0.174603,0.333333,0.158730,0.476190,3,0.204,19.672,0.006,0.110,0.081,5.686,0.201,13.567,0.008,0.366,3,3-party-outsourced
vary_k_16,piccard_sqrt,CPA/no-leakage,65536,1000,16,64,8192,1,3,0.108,6.270,20.776,0.397,27.551,156237824,394205,1182615,0.174603,0.333333,0.158730,0.476190,3,0.232,27.611,0.016,0.111,0.024,6.280,0.235,20.838,0.014,0.401,3,3-party-outsourced
vary_k_16,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_k_32,piccard,CPA/no-leakage,65536,1000,32,64,8192,1,1,0.126,5.607,13.322,0.323,19.378,156270592,263011,789033,0.269841,0.333333,0.063492,0.190476,3,0.388,19.194,0.020,0.136,0.108,5.628,0.298,13.164,0.005,0.322,3,3-party-outsourced
vary_k_32,piccard_sqrt,CPA/no-leakage,65536,1000,32,64,8192,1,3,0.135,6.423,20.622,0.384,27.564,172556288,394205,1182615,0.269841,0.333333,0.063492,0.190476,3,0.308,27.618,0.015,0.130,0.191,6.411,0.287,20.707,0.013,0.387,3,3-party-outsourced
vary_k_32,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_k_64,piccard,CPA/no-leakage,65536,1000,64,64,8192,1,1,0.147,5.553,13.310,0.338,19.349,174489600,263011,789033,0.333333,0.333333,0.000000,0.000000,3,0.207,19.238,0.021,0.143,0.054,5.535,0.121,13.255,0.021,0.346,3,3-party-outsourced
vary_k_64,piccard_sqrt,CPA/no-leakage,65536,1000,64,64,8192,1,3,0.137,6.315,20.643,0.382,27.477,193904640,394205,1182615,0.333333,0.333333,0.000000,0.000000,3,0.167,27.398,0.005,0.137,0.080,6.300,0.077,20.608,0.011,0.377,3,3-party-outsourced
vary_k_64,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_k_128,piccard,CPA/no-leakage,65536,1000,128,64,8192,1,1,0.161,5.554,13.101,0.341,19.158,196214784,263011,789033,0.349206,0.333333,0.015873,0.047619,3,0.061,19.165,0.015,0.158,0.052,5.575,0.068,13.090,0.024,0.335,3,3-party-outsourced
