circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
onehot,TOY,16,64,1024,1024,1024,0,1,1,0,2,12289,120.0,106.4,all_match,74.56,30.85,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,0,2,12289,120.0,106.4,no_match,74.46,30.96,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,0,2,12289,120.0,106.4,random,74.98,30.43,0,1,1,1,1,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,40,2,12289,80.0,66.4,all_match,53.74,11.67,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,40,2,12289,80.0,66.4,no_match,55.02,10.39,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,40,2,12289,80.0,66.4,random,55.13,10.29,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,45,2,12289,90.0,76.4,all_match,58.30,17.11,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,45,2,12289,90.0,76.4,no_match,58.04,17.37,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,45,2,12289,90.0,76.4,random,58.82,16.59,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,50,2,12289,100.0,86.4,all_match,63.95,21.46,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,50,2,12289,100.0,86.4,no_match,64.89,20.53,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,50,2,12289,100.0,86.4,random,64.67,20.74,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,52,2,12289,104.0,90.4,all_match,66.15,23.27,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,52,2,12289,104.0,90.4,no_match,66.14,23.28,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,52,2,12289,104.0,90.4,random,67.03,22.38,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,54,2,12289,108.0,94.4,all_match,68.58,24.83,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,54,2,12289,108.0,94.4,no_match,68.68,24.74,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,54,2,12289,108.0,94.4,random,67.87,25.55,0,1,1,0,0,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,58,2,12289,116.0,102.4,all_match,72.81,28.60,0,1,1,16,16,33835,ok
onehot,TOY,16,64,1024,1024,1024,0,1,1,58,2,12289,116.0,102.4,no_match,72.33,29.08,0,1,1,0,0,33835,ok
