circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
onehot,STD128,256,256,65536,65536,65536,0,1,1,0,2,786433,120.0,100.4,all_match,82.96,16.46,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,0,2,786433,120.0,100.4,no_match,83.64,15.78,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,0,2,786433,120.0,100.4,random,83.37,16.05,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,40,2,786433,80.0,60.4,all_match,59.41,0.00,1,0,1,256,156690,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,40,2,786433,80.0,60.4,no_match,59.41,0.01,1,0,1,0,186495,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,40,2,786433,80.0,60.4,random,59.38,0.04,1,0,1,0,232268,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,45,2,786433,90.0,70.4,all_match,68.36,1.06,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,45,2,786433,90.0,70.4,no_match,68.47,0.95,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,45,2,786433,90.0,70.4,random,68.53,0.88,0,1,1,1,1,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,50,2,786433,100.0,80.4,all_match,73.92,5.49,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,50,2,786433,100.0,80.4,no_match,73.76,5.65,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,50,2,786433,100.0,80.4,random,73.76,5.66,0,1,1,2,2,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,52,2,786433,104.0,84.4,all_match,76.43,6.98,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,52,2,786433,104.0,84.4,no_match,75.68,7.73,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,52,2,786433,104.0,84.4,random,75.68,7.74,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,54,2,786433,108.0,88.4,all_match,77.46,9.96,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,54,2,786433,108.0,88.4,no_match,78.03,9.39,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,54,2,786433,108.0,88.4,random,77.73,9.68,0,1,1,1,1,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,58,2,786433,116.0,96.4,all_match,81.97,13.44,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,58,2,786433,116.0,96.4,no_match,82.21,13.21,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,58,2,786433,116.0,96.4,random,81.18,14.24,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,60,2,786433,120.0,100.4,all_match,82.19,17.22,0,1,1,256,256,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,60,2,786433,120.0,100.4,no_match,83.28,16.14,0,1,1,0,0,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,1,1,60,2,786433,120.0,100.4,random,83.04,16.38,0,1,1,1,1,2098219,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,40,3,786433,120.0,100.4,all_match,63.99,35.43,0,1,1,256,256,3146957,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,40,3,786433,120.0,100.4,no_match,64.21,35.20,0,1,1,0,0,3146957,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,40,3,786433,120.0,100.4,random,64.13,35.29,0,1,1,0,0,3146957,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,45,3,786433,135.0,115.4,all_match,68.02,46.39,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,45,3,786433,135.0,115.4,no_match,68.75,45.67,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,45,3,786433,135.0,115.4,random,68.85,45.56,0,1,1,1,1,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,50,3,786433,150.0,130.4,all_match,72.90,56.51,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,50,3,786433,150.0,130.4,no_match,73.28,56.13,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,50,3,786433,150.0,130.4,random,73.95,55.46,0,1,1,2,2,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,52,3,786433,156.0,136.4,all_match,75.56,59.85,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,52,3,786433,156.0,136.4,no_match,76.42,59.00,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,52,3,786433,156.0,136.4,random,76.63,58.78,0,1,1,1,1,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,54,3,786433,162.0,142.4,all_match,77.57,63.85,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,54,3,786433,162.0,142.4,no_match,77.76,63.65,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,54,3,786433,162.0,142.4,random,78.37,63.04,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,all_match,82.16,71.26,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,no_match,82.16,71.25,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,58,3,786433,174.0,154.4,random,82.12,71.29,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,all_match,83.71,75.71,0,1,1,256,256,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,no_match,83.96,75.45,0,1,1,0,0,3146973,ok
onehot,STD128,256,256,65536,65536,65536,0,2,1,60,3,786433,180.0,160.4,random,82.45,76.97,0,1,1,3,3,3146973,ok
