circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
sqrt,TOY,16,64,1024,1024,1024,0,3,3,0,3,12289,180.0,166.4,all_match,131.06,34.35,0,1,1,16,16,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,0,3,12289,180.0,166.4,no_match,130.66,34.76,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,0,3,12289,180.0,166.4,random,130.83,34.58,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,40,4,12289,160.0,146.4,all_match,90.86,54.55,0,1,1,16,16,66943,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,40,4,12289,160.0,146.4,no_match,91.12,54.29,0,1,1,0,0,66943,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,40,4,12289,160.0,146.4,random,91.10,54.31,0,1,1,0,0,66943,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,45,3,12289,135.0,121.4,all_match,100.63,19.79,0,1,1,16,16,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,45,3,12289,135.0,121.4,no_match,100.91,19.50,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,45,3,12289,135.0,121.4,random,100.55,19.86,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,50,3,12289,150.0,136.4,all_match,110.52,24.89,0,1,1,16,16,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,50,3,12289,150.0,136.4,no_match,110.39,25.03,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,50,3,12289,150.0,136.4,random,110.63,24.78,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,52,3,12289,156.0,142.4,all_match,114.66,26.76,0,1,1,16,16,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,52,3,12289,156.0,142.4,no_match,114.60,26.81,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,52,3,12289,156.0,142.4,random,114.31,27.11,0,1,1,1,1,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,54,3,12289,162.0,148.4,all_match,118.38,29.03,0,1,1,16,16,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,54,3,12289,162.0,148.4,no_match,118.44,28.97,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,54,3,12289,162.0,148.4,random,118.77,28.64,0,1,1,0,0,50397,ok
sqrt,TOY,16,64,1024,1024,1024,0,3,3,58,3,12289,174.0,160.4,all_match,126.63,32.78,0,1,1,16,16,50397,ok
