circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
sqrt,STD128,256,256,8192,8192,8192,0,3,3,0,3,65537,180.0,164.0,all_match,134.14,28.86,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,0,3,65537,180.0,164.0,no_match,134.42,28.58,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,0,3,65537,180.0,164.0,random,134.29,28.71,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,40,4,65537,160.0,144.0,all_match,94.26,48.74,0,1,1,256,256,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,40,4,65537,160.0,144.0,no_match,94.77,48.23,0,1,1,0,0,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,40,4,65537,160.0,144.0,random,94.13,48.87,0,1,1,0,0,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,45,4,65537,180.0,164.0,all_match,104.42,58.58,0,1,1,256,256,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,45,4,65537,180.0,164.0,no_match,104.67,58.33,0,1,1,0,0,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,45,4,65537,180.0,164.0,random,104.27,58.73,0,1,1,1,1,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,50,3,65537,150.0,134.0,all_match,114.07,18.93,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,50,3,65537,150.0,134.0,no_match,114.27,18.73,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,50,3,65537,150.0,134.0,random,114.34,18.66,0,1,1,1,1,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,52,3,65537,156.0,140.0,all_match,117.99,21.01,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,52,3,65537,156.0,140.0,no_match,118.64,20.36,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,52,3,65537,156.0,140.0,random,118.06,20.94,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,54,3,65537,162.0,146.0,all_match,122.38,22.62,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,54,3,65537,162.0,146.0,no_match,122.09,22.91,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,54,3,65537,162.0,146.0,random,122.03,22.97,0,1,1,1,1,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,58,3,65537,174.0,158.0,all_match,129.95,27.05,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,58,3,65537,174.0,158.0,no_match,130.03,26.97,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,58,3,65537,174.0,158.0,random,130.14,26.86,0,1,1,1,1,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,60,3,65537,180.0,164.0,all_match,134.15,28.85,0,1,1,256,256,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,60,3,65537,180.0,164.0,no_match,134.29,28.71,0,1,1,0,0,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,3,3,60,3,65537,180.0,164.0,random,134.33,28.67,0,1,1,1,1,394461,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,40,5,65537,200.0,184.0,all_match,94.66,88.34,0,1,1,256,256,656945,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,40,5,65537,200.0,184.0,no_match,95.05,87.95,0,1,1,0,0,656945,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,40,5,65537,200.0,184.0,random,94.68,88.32,0,1,1,2,2,656945,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,45,4,65537,180.0,164.0,all_match,104.73,58.27,0,1,1,256,256,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,45,4,65537,180.0,164.0,no_match,104.56,58.44,0,1,1,0,0,525695,ok
sqrt,STD128,256,256,8192,8192,8192,0,4,3,45,4,65537,180.0,164.0,random,104.56,58.44,0,1,1,1,1,525695,ok
