circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
threshold,TOY,4,8,1024,1024,1024,0,4,4,0,3,12289,180.0,166.4,all_match,165.41,0.00,1,0,0,4,4,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,0,3,12289,180.0,166.4,no_match,165.41,0.00,1,0,0,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,0,3,12289,180.0,166.4,random,165.41,0.00,1,0,0,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,40,4,12289,160.0,146.4,all_match,135.70,9.72,0,1,1,4,4,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,40,4,12289,160.0,146.4,no_match,136.61,8.81,0,1,1,0,0,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,40,4,12289,160.0,146.4,random,134.68,10.74,0,1,1,1,1,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,45,4,12289,180.0,166.4,all_match,140.91,24.51,0,1,1,4,4,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,45,4,12289,180.0,166.4,no_match,141.25,24.17,0,1,1,0,0,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,45,4,12289,180.0,166.4,random,141.03,24.39,0,1,1,0,0,66759,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,50,4,12289,200.0,186.4,all_match,155.64,29.77,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,50,4,12289,200.0,186.4,no_match,155.50,29.92,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,50,4,12289,200.0,186.4,random,155.72,29.70,0,1,1,1,1,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,52,4,12289,208.0,194.4,all_match,161.52,31.90,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,52,4,12289,208.0,194.4,no_match,161.50,31.92,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,52,4,12289,208.0,194.4,random,161.49,31.93,0,1,1,1,1,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,54,4,12289,216.0,202.4,all_match,167.66,33.75,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,54,4,12289,216.0,202.4,no_match,167.73,33.68,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,54,4,12289,216.0,202.4,random,167.57,33.84,0,1,1,1,1,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,58,3,12289,174.0,160.4,all_match,159.41,0.00,1,0,0,4,4,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,58,3,12289,174.0,160.4,no_match,159.41,0.00,1,1,1,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,58,3,12289,174.0,160.4,random,159.41,0.00,1,1,1,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,60,3,12289,180.0,166.4,all_match,165.41,0.00,1,0,0,4,4,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,60,3,12289,180.0,166.4,no_match,165.41,0.00,1,0,0,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,4,4,60,3,12289,180.0,166.4,random,165.41,0.00,1,1,1,0,0,50221,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,40,5,12289,200.0,186.4,all_match,136.92,48.49,0,1,1,4,4,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,40,5,12289,200.0,186.4,no_match,136.45,48.97,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,40,5,12289,200.0,186.4,random,135.43,49.98,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,45,5,12289,225.0,211.4,all_match,141.19,69.23,0,1,1,4,4,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,45,5,12289,225.0,211.4,no_match,142.19,68.22,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,45,5,12289,225.0,211.4,random,141.42,69.00,0,1,1,1,1,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,50,4,12289,200.0,186.4,all_match,155.65,29.77,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,50,4,12289,200.0,186.4,no_match,155.79,29.62,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,50,4,12289,200.0,186.4,random,155.84,29.58,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,52,4,12289,208.0,194.4,all_match,161.62,31.80,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,52,4,12289,208.0,194.4,no_match,161.71,31.71,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,52,4,12289,208.0,194.4,random,161.67,31.75,0,1,1,1,1,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,54,4,12289,216.0,202.4,all_match,167.61,33.81,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,54,4,12289,216.0,202.4,no_match,167.51,33.90,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,54,4,12289,216.0,202.4,random,167.61,33.81,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,58,4,12289,232.0,218.4,all_match,165.34,52.07,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,58,4,12289,232.0,218.4,no_match,165.47,51.94,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,58,4,12289,232.0,218.4,random,165.28,52.13,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,60,4,12289,240.0,226.4,all_match,169.58,55.83,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,60,4,12289,240.0,226.4,no_match,169.39,56.03,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,5,4,60,4,12289,240.0,226.4,random,169.25,56.16,0,1,1,1,1,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,40,6,12289,240.0,226.4,all_match,136.09,89.32,0,1,1,4,4,99843,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,40,6,12289,240.0,226.4,no_match,137.09,88.33,0,1,1,0,0,99843,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,40,6,12289,240.0,226.4,random,136.58,88.83,0,1,1,0,0,99843,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,45,5,12289,225.0,211.4,all_match,141.91,68.51,0,1,1,4,4,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,45,5,12289,225.0,211.4,no_match,141.24,69.17,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,45,5,12289,225.0,211.4,random,141.51,68.90,0,1,1,1,1,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,50,5,12289,250.0,236.4,all_match,155.95,79.47,0,1,1,4,4,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,50,5,12289,250.0,236.4,no_match,155.99,79.43,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,50,5,12289,250.0,236.4,random,156.23,79.18,0,1,1,0,0,83305,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,52,5,12289,260.0,246.4,all_match,162.01,83.40,0,1,1,4,4,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,52,5,12289,260.0,246.4,no_match,161.98,83.44,0,1,1,0,0,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,52,5,12289,260.0,246.4,random,162.09,83.33,0,1,1,1,1,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,54,5,12289,270.0,256.4,all_match,167.91,87.51,0,1,1,4,4,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,54,5,12289,270.0,256.4,no_match,167.99,87.43,0,1,1,0,0,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,54,5,12289,270.0,256.4,random,167.82,87.60,0,1,1,1,1,83313,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,58,4,12289,232.0,218.4,all_match,165.53,51.88,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,58,4,12289,232.0,218.4,no_match,165.53,51.88,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,58,4,12289,232.0,218.4,random,165.35,52.06,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,60,4,12289,240.0,226.4,all_match,169.30,56.12,0,1,1,4,4,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,60,4,12289,240.0,226.4,no_match,169.41,56.00,0,1,1,0,0,66767,ok
threshold,TOY,4,8,1024,1024,1024,0,6,4,60,4,12289,240.0,226.4,random,169.28,56.13,0,1,1,1,1,66767,ok
