circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
threshold,STD128,128,64,32768,8192,32768,0,15,15,0,10,65537,600.0,584.0,all_match,548.42,34.58,0,1,1,128,128,5244843,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,0,10,65537,600.0,584.0,no_match,548.58,34.42,0,1,1,0,0,5244843,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,0,10,65537,600.0,584.0,random,548.89,34.11,0,1,1,0,0,5244843,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,40,14,65537,560.0,544.0,all_match,526.01,16.99,0,1,1,128,128,7342483,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,40,14,65537,560.0,544.0,no_match,525.29,17.71,0,1,1,0,0,7342483,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,40,14,65537,560.0,544.0,random,527.42,15.58,0,1,1,1,1,7342483,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,45,13,65537,585.0,569.0,all_match,532.11,35.89,0,1,1,128,128,6818089,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,45,13,65537,585.0,569.0,no_match,531.65,36.35,0,1,1,0,0,6818089,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,45,13,65537,585.0,569.0,random,532.29,35.71,0,1,1,1,1,6818089,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,50,12,65537,600.0,584.0,all_match,536.53,46.47,0,1,1,128,128,6293687,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,50,12,65537,600.0,584.0,no_match,534.66,48.34,0,1,1,0,0,6293687,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,50,12,65537,600.0,584.0,random,534.65,48.35,0,1,1,3,3,6293687,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,52,11,65537,572.0,556.0,all_match,539.46,15.54,0,1,1,128,128,5769237,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,52,11,65537,572.0,556.0,no_match,541.51,13.49,0,1,1,0,0,5769237,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,52,11,65537,572.0,556.0,random,539.34,15.66,0,1,1,0,0,5769237,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,54,11,65537,594.0,578.0,all_match,549.25,27.75,0,1,1,128,128,5769245,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,54,11,65537,594.0,578.0,no_match,547.07,29.93,0,1,1,0,0,5769245,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,54,11,65537,594.0,578.0,random,548.59,28.41,0,1,1,2,2,5769245,ok
threshold,STD128,128,64,32768,8192,32768,0,15,15,58,10,65537,580.0,564.0,all_match,543.89,19.11,0,1,1,128,128,5244843,ok
